Départ;Arrivé;Société;Energie;Date;Année;Heures;Minutes;Distance (km);CO2 (kg);Prix (€);Prix horaire (€ / h);Prix au kilomètre (€ / km)
Acropole;Gare LGV;Évolity;Essence;19/11/2022;2022;0 h;30;18.0;2.0;0.9;1.8;0.05
Gare LGV;Acropole;Évolity;Essence;10/12/2022;2022;0 h;30;18.0;2.0;0.9;1.8;0.05
Acropole;Gare LGV;Évolity;Essence;24/12/2022;2022;0 h;30;18.0;2.0;0.9;1.8;0.05
Gare LGV;Acropole;Évolity;Essence;12/01/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Acropole;Gare LGV;Évolity;Essence;28/01/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Gare LGV;Acropole;Évolity;Essence;25/02/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Acropole;Gare LGV;Évolity;Essence;11/03/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Gare LGV;Acropole;Évolity;Essence;25/03/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Acropole;Gare LGV;Évolity;Essence;08/04/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Acropole;Gare LGV;Évolity;Essence;18/05/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Gare LGV;Acropole;Évolity;Essence;10/06/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Acropole;Gare LGV;Évolity;Essence;24/06/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Acropole;Gare LGV;Évolity;Essence;24/06/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Gare LGV;Acropole;Évolity;Essence;01/07/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Gare LGV;Acropole;Évolity;Essence;01/07/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Donzelot;Hopital HNFC;Évolity;Essence;15/07/2023;2023;0 h;40;15.0;2.0;0.9;1.35;0.06
Acropole;Gare LGV;Évolity;Essence;06/08/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Gare LGV;Acropole;Évolity;Essence;20/09/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Acropole;Gare LGV;Évolity;Essence;30/09/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Versailles Chantier;Base aerienne 107;RATP;Essence;17/10/2023;2023;0 h;20;9.0;1.0;2.9;8.7;0.32
Base Aerienne 107;Versailles Chantier;RATP;Essence;17/10/2023;2023;0 h;20;9.0;1.0;2.9;8.7;0.32
Versailles Chantier;Base aerienne 107;RATP;Essence;18/10/2023;2023;0 h;20;9.0;1.0;2.9;8.7;0.32
Gare LGV;Acropole;Évolity;Essence;20/10/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Gare LGV;Acropole;Évolity;Essence;20/10/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
Acropole;Gare LGV;Évolity;Essence;04/11/2023;2023;0 h;30;18.0;2.0;0.9;1.8;0.05
SQY;Mairie de Montrouge;RATP;Essence;18/11/2023;2023;0 h;45;32.0;3.2;2.1;2.8;0.07
