Départ;Arrivé;Société;Date;Année;Heures;Minutes;Distance (km);CO2 (kg);Prix (€);Prix horaire (€ / h);Prix au kilomètre (€ / km)
SQY;Puteau;RATP;21/09/2022;2022;0;32;30;1;4,00;7,50;0,13
SQY;Puteau;RATP;22/09/2022;2022;0;32;30;1;4,00;7,50;0,13
SQY;Puteau;RATP;23/09/2022;2022;0;32;30;1;4,00;7,50;0,13
SQY;Puteau;RATP;03/10/2022;2022;0;32;30;1;4,00;7,50;0,13
SQY;Puteau;RATP;04/10/2022;2022;0;32;30;1;4,00;7,50;0,13
SQY;Orsay;RATP;05/10/2022;2022;0;40;35;1;4,00;6,00;0,11
Montparnasse;SQY;RATP;06/10/2022;2022;0;30;40;1;4,00;8,00;0,10
Paris gare de Lyon;SQY;RATP;19/11/2022;2022;1;0;44;1;4,00;4,00;0,09
SQY;Paris gare de Lyon;RATP;10/12/2022;2022;1;0;44;1;4,00;4,00;0,09
Paris gare de Lyon;Paris gare Montparnasse;RATP;24/12/2022;2022;0;20;4;0;2,90;8,70;0,73
SQY;Paris gare de Lyon;RATP;12/01/2023;2023;1;0;44;1;4,00;4,00;0,09
Paris gare de Lyon;SQY;RATP;28/01/2023;2023;1;0;44;1;4,00;4,00;0,09
SQY;Paris gare du Nord;RATP;23/02/2023;2023;1;0;36;0;4,00;4,00;0,11
Paris gare du Nord;SQY;RATP;23/02/2023;2023;1;0;36;0;4,00;4,00;0,11
SQY;Paris gare de Lyon;RATP;25/02/2023;2023;1;0;44;1;4,00;4,00;0,09
Paris gare de Lyon;SQY;RATP;11/03/2023;2023;1;0;44;1;4,00;4,00;0,09
SQY;Paris gare de Lyon;RATP;25/03/2023;2023;1;0;44;1;4,00;4,00;0,09
Paris gare de Lyon;SQY;RATP;08/04/2023;2023;1;0;44;1;4,00;4,00;0,09
Paris gare de Lyon;Paris gare Montparnasse;RATP;18/05/2023;2023;0;20;4;0;2,90;8,70;0,73
SQY;Paris gare de Lyon;RATP;10/06/2023;2023;1;0;44;1;4,00;4,00;0,09
Paris gare de Lyon;SQY;RATP;24/06/2023;2023;1;0;44;1;4,00;4,00;0,09
SQY;Paris gare de Lyon;RATP;01/07/2023;2023;1;0;44;1;4,00;4,00;0,09
Paris gare de Lyon;Paris gare Montparnasse;RATP;27/07/2023;2023;0;20;4;0;2,90;8,70;0,73
Paris gare Montparnasse;Paris gare de Lyon;RATP;30/07/2023;2023;0;20;4;0;2,10;6,30;0,53
SQY;Saint Joseph;RATP;16/09/2023;2023;1;0;32;0;4,00;4,00;0,13
Saint Joseph;SQY;RATP;16/09/2023;2023;1;0;32;0;4,00;4,00;0,13
SQY;Paris gare de Lyon;RATP;20/09/2023;2023;1;0;44;1;4,00;4,00;0,09
Paris gare de Lyon;SQY;RATP;30/09/2023;2023;1;0;44;1;4,00;4,00;0,09
SQY;Chatelet;RATP;07/10/2023;2023;1;0;30;0;4,00;4,00;0,13
Chaletet;Olympiades ;RATP;07/10/2023;2023;0;10;6;0;2,90;17,40;0,48
Olympiades;SQY;RATP;07/10/2023;2023;1;17;38;0;4,00;3,12;0,11
SQY;Versailles Chantiers;RATP;17/10/2023;2023;0;10;12;0;3,90;23,40;0,33
Versailles Chantiers;SQY;RATP;17/10/2023;2023;0;10;12;0;3,90;23,40;0,33
SQY;Versailles Chantiers;RATP;18/10/2023;2023;0;10;12;0;3,90;23,40;0,33
Versailles Chantiers;Paris gare de Lyon;RATP;20/10/2023;2023;0;45;38;0;4,05;5,40;0,11
Paris gare de Lyon;SQY;RATP;04/11/2023;2023;1;0;44;1;4,00;4,00;0,09
Mairie de Montrouge;Paris gare de Lyon;RATP;18/11/2023;2023;0;45;9;0;2,10;2,80;0,23
Paris gare de Lyon;Paris gare Montparnasse;RATP;22/12/2023;2023;0;20;4;0;2,10;6,30;0,53
SQY;Bonne Nouvelle;RATP;05/01/2024;2024;0;54;38;0;4,00;4,44;0,11
Bonne Nouvelle;Saint François Xavier;RATP;05/01/2024;2024;0;15;5;0;2,15;8,60;0,43
Vaneau;Cluny-La Sorbonne;RATP;05/01/2024;2024;0;5;4;0;2,15;25,80;0,54
Cité;SQY;RATP;05/01/2024;2024;0;51;51;0;4,00;4,71;0,08
SQY;Paris gare de Lyon;RATP;20/01/2024;2024;1;0;44;1;4,00;4,00;0,09
Paris gare de Lyon;Les Millons;RATP;10/02/2024;2024;0;30;18;0;4,30;8,60;0,24
SQY;Paris gare Montparnasse;RATP;16/02/2024;2024;0;30;40;1;5,00;10,00;0,13
Paris gare Montparnasse;Paris gare de Lyon;RATP;19/02/2024;2024;0;20;4;0;2,10;6,30;0,53
Paris gare de Lyon;SQY;RATP;08/03/2024;2024;1;0;44;1;4,00;4,00;0,09
Les Milons;La Défense;RATP;09/03/2024;2024;0;12;6;0;2,15;10,75;0,36
La Défense;Les Millons;RATP;09/03/2024;2024;0;12;6;0;2,15;10,75;0,36
SQY;Paris gare de Lyon;RATP;16/03/2024;2024;1;0;44;1;4,00;4,00;0,09
Paris gare de Lyon;SQY;RATP;30/03/2024;2024;1;0;44;1;4,00;4,00;0,09
SQY;Paris gare Montparnasse;RATP;06/04/2024;2024;0;30;40;1;4,00;8,00;0,10
Paris gare Montparnasse;Odéon;RATP;06/04/2024;2024;0;5;1,5;0;1,75;21,00;1,17
Chatelet;SQY;RATP;06/04/2024;2024;1;0;30;0;4,00;4,00;0,13
SQY;Paris gare de Lyon;RATP;13/04/2024;2024;1;0;44;1;2,15;2,15;0,05
Hendaye;Amara;EUSKOTREN;04/05/2024;2024;0;38;21;0;2,75;4,34;0,13
Amara;Hendaye;EUSKOTREN;04/05/2024;2024;0;38;21;0;2,75;4,34;0,13
Paris gare du Nord;SQY;RATP;12/05/2024;2024;1;0;36;0;4,00;4,00;0,11
SQY;Paris gare Montparnasse;RATP;17/05/2024;2024;0;30;40;1;4,00;8,00;0,10
Paris gare Montparnasse;SQY;RATP;20/05/2024;2024;0;30;40;1;4,00;8,00;0,10
Paris gare Montparnasse;SQY;RATP;09/06/2024;2024;0;30;40;1;4,00;8,00;0,10
SQY;Paris gare Saint Lazare;RATP;22/06/2024;2024;0;50;29;0;4,00;4,80;0,14
Paris gare Saint Lazare;SQY;RATP;22/06/2024;2024;0;50;29;0;4,00;4,80;0,14
SQY;Nationnale;RATP;28/06/2024;2024;0;52;40;0;4,00;4,62;0,10
Hendaye;Lugaritz Donostia;EUSKOTREN;29/06/2024;2024;0;45;29;0;2,75;3,67;0,09
Lugaritz Donostia;Hendaye;EUSKOTREN;14/09/2024;2024;0;45;29;0;2,75;3,67;0,09
SQY;Paris gare de Lyon;RATP;01/11/2024;2024;1;0;44;1;4,00;4,00;0,09
SQY;Paris gare du Nord;RATP;08/11/2024;2024;1;0;36;0;5,00;5,00;0,14
Portes des Postes;Lilles Flandres;ILEVIA;09/11/2024;2024;0;6;3;0;0,90;9,00;0,30
Paris gare du Nord;SQY;RATP;11/11/2024;2024;1;15;36;0;5,00;4,00;0,14
SQY;Paris gare de Lyon;RATP;16/11/2024;2024;1;0;44;1;4,00;4,00;0,09
SQY;Paris gare Saint Lazare;RATP;30/11/2024;2024;0;50;29;0;5,00;6,00;0,17
Paris gare Saint Lazare;SQY;RATP;01/12/2024;2024;0;50;29;0;5,00;6,00;0,17
SQY;Palais Royal - Musée du Louvre;RATP;10/01/2025;2025;0;54;30;0;2,50;2,78;0,08
Musée du Louvre;Hotel de Ville;RATP;10/01/2025;2025;0;3;1,2;0;1,075;21,50;0,90
Saint Michel;Champs de Mars;RATP;10/01/2025;2025;0;10;4,5;0;1,075;6,45;0,24
Trocadero;Etoile;RATP;10/01/2025;2025;0;4;1,4;0;2,15;32,25;1,54
Concorde;SQY;RATP;10/01/2025;2025;0;52;29;0;2,50;2,88;0,09
