Départ;Arrivé;Train;Société;Classe;Date;Année;Heures;Minutes;Distance (km);CO2 (kg);Prix (€)
Belfort-Monbéliard LGV;Paris gare de Lyon;TGV;INOUI;2;19/10/2022;2022;2;41;434.0;1;49.0
Paris gare de Lyon;Belfort-Monbéliard LGV;TGV;INOUI;2;10/12/2022;2022;2;30;434.0;1;49.0
Belfort-Monbéliard LGV;Paris gare de Lyon;TGV;Lyria;2;24/12/2022;2022;2;21;434.0;1;129.0
Paris gare Montparnasse;Vannes;TGV;OUIGO;2;24/12/2022;2022;2;2;456.0;1;79.0
Paris gare de Lyon;Belfort-Monbéliard LGV;TGV;INOUI;2;12/01/2023;2023;2;30;434.0;1;49.0
Belfort-Monbéliard LGV;Paris gare de Lyon;TGV;INOUI;2;28/01/2023;2023;2;43;434.0;1;49.0
Paris gare de Lyon;Belfort-Monbéliard LGV;TGV;INOUI;2;25/02/2023;2023;2;30;434.0;1;104.0
Belfort-Monbéliard LGV;Paris gare de Lyon;TGV;INOUI;2;11/03/2023;2023;2;30;434.0;1;49.0
Paris gare de Lyon;Belfort-Monbéliard LGV;TGV;INOUI;2;25/03/2023;2023;2;30;434.0;1;42.0
Belfort-Monbéliard LGV;Paris gare de Lyon;TGV;INOUI;2;08/04/2023;2023;2;43;434.0;1;59.0
Belfort-Monbéliard LGV;Paris gare de Lyon;TGV;INOUI;2;18/05/2023;2023;2;30;434.0;1;59.0
Paris gare Montparnasse;Alençon;TER;SNCF;2;18/05/2023;2023;2;2;245.0;6;17.9
Paris Montparnasse;Vannes;TGV;INOUI;2;02/06/2023;2023;2;34;456.0;1;58.0
Le Mans;Paris Montparnasse;TGV;INOUI;2;04/06/2023;2023;0;59;204.0;0;39.0
Paris gare de Lyon;Belfort-Monbéliard LGV;TGV;INOUI;2;10/06/2023;2023;2;30;434.0;1;50.0
Belfort-Monbéliard LGV;Paris gare de Lyon;TGV;INOUI;2;24/06/2023;2023;2;30;434.0;1;47.0
Paris gare de Lyon;Belfort-Monbéliard LGV;TGV;INOUI;2;01/07/2023;2023;2;28;434.0;1;47.0
Belfort-Monbéliard LGV;Paris gare de Lyon;TGV;INOUI;2;27/07/2023;2023;2;37;434.0;1;39.0
Paris Montparnasse;Surdon;TER;SNCF;2;27/07/2023;2023;1;54;277.0;7;7.7
Alençon;Le Mans;TER;INOUI;2;30/07/2023;2023;0;33;55.0;1;7.7
Le Mans;Paris Montparnasse;TGV;INOUI;2;30/07/2023;2023;0;59;204.0;0;20.5
Paris gare de Lyon;Belfort-Monbéliard LGV;TGV;INOUI;2;30/07/2023;2023;2;15;434.0;1;49.0
Belfort-Monbéliard LGV;Marseilles Saint Charles;TGV;INOUI;1;06/08/2023;2023;5;31;653.0;1;69.0
